"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U9";"DIP_Socket-14_W4.3_W5.08_W7.62_W10.16_W10.9_3M_214-3339-00-0602J";1;"SN74HC32N";;;
2;"Y1";"Oscillator_DIP-14";1;"8MHz Crystal";;;
3;"U10";"DIP_Socket-14_W4.3_W5.08_W7.62_W10.16_W10.9_3M_214-3339-00-0602J";1;"SN74HC08N";;;
4;"U8";"DIP_Socket-14_W4.3_W5.08_W7.62_W10.16_W10.9_3M_214-3339-00-0602J";1;"SN74LS04N";;;
5;"U7,U5";"DIP_Socket-20_W4.3_W5.08_W7.62_W10.16_W10.9_3M_220-3342-00-0602J";2;"74LS682";;;
6;"U6";"DIP_Socket-28_W11.9_W12.7_W15.24_W17.78_W18.5_3M_228-1277-00-0602J";1;"AS6C62256A-70PCN";;;
7;"U4";"DIP_Socket-40_W11.9_W12.7_W15.24_W17.78_W18.5_3M_240-1280-00-0602J";1;"W65C22SxP";;;
8;"U3";"DIP_Socket-14_W4.3_W5.08_W7.62_W10.16_W10.9_3M_214-3339-00-0602J";1;"SN74HC14N";;;
9;"U2";"DIP_Socket-28_W11.9_W12.7_W15.24_W17.78_W18.5_3M_228-1277-00-0602J";1;"AT28C256-15PU";;;
10;"U1";"DIP_Socket-40_W11.9_W12.7_W15.24_W17.78_W18.5_3M_240-1280-00-0602J";1;"W65C02SxP";;;
11;"SW6";"SW_TH_Tactile_Omron_B3F-10xx";1;"Fire";;;
12;"SW5";"SW_TH_Tactile_Omron_B3F-10xx";1;"RIGHT";;;
13;"SW4";"SW_TH_Tactile_Omron_B3F-10xx";1;"DOWN";;;
14;"SW3";"SW_TH_Tactile_Omron_B3F-10xx";1;"UP";;;
15;"SW2";"SW_TH_Tactile_Omron_B3F-10xx";1;"LEFT";;;
16;"SW1";"SW_TH_Tactile_Omron_B3F-10xx";1;"RST";;;
17;"R17,R16,R12,R11,R10,R9,R8,R7,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";9;"10K";;;
18;"R15,R14,R13,R6,R5,R3,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"3.3K";;;
19;"J1";"PinHeader_1x10_P2.54mm_Vertical";1;"Display";;;
20;"C6";"CP_Radial_D8.0mm_P5.00mm";1;"220uF";;;
21;"C5,C4,C3,C2,C1";"C_Disc_D5.1mm_W3.2mm_P5.00mm";5;"102";;;
22;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
